angry,disgust,fear,happy,sad,surprise,neutral,face_position_x,face_position_y,center_closeness
0.462,0.001,0.072,0.0,0.307,0.0,0.158,671.0,392.0,0.9393256246677524
0.075,0.0,0.149,0.002,0.646,0.001,0.126,663.0,383.0,0.9557036550931477
0.038,0.001,0.197,0.005,0.698,0.0,0.061,658.0,378.0,0.9653332952902894
0.222,0.001,0.189,0.04,0.241,0.001,0.307,642.0,372.0,0.9834325405639195
0.285,0.0,0.291,0.145,0.1,0.178,0.001,595.0,367.0,0.9379803324006049
0.008,0.002,0.573,0.006,0.404,0.0,0.005,622.5,366.5,0.9745770203718157
0.0,0.0,0.134,0.0,0.865,0.0,0.0,638.0,368.0,0.9887700062491594
0.058,0.033,0.264,0.009,0.633,0.0,0.003,652.0,371.0,0.9778309034300003
0.525,0.004,0.249,0.039,0.165,0.003,0.016,637.0,361.0,0.9956934939840653
0.018,0.0,0.136,0.009,0.725,0.0,0.112,627.0,364.0,0.9814770172432269
0.141,0.001,0.127,0.001,0.728,0.0,0.002,619.5,367.5,0.9702726284846661
0.091,0.001,0.193,0.054,0.642,0.001,0.018,640.0,366.0,0.9918289793394574
0.015,0.002,0.142,0.046,0.795,0.0,0.001,668.5,365.5,0.9604715292478953
0.337,0.001,0.018,0.47,0.158,0.0,0.016,671.0,382.0,0.9482322866795023
0.667,0.009,0.045,0.136,0.055,0.003,0.087,670.0,381.0,0.9501299909348885
0.175,0.013,0.168,0.166,0.463,0.002,0.013,653.5,381.5,0.9654270435526926
0.112,0.027,0.172,0.146,0.495,0.0,0.048,641.5,377.5,0.9760804699687902
0.127,0.039,0.202,0.053,0.548,0.001,0.03,644.0,374.0,0.9801713572278894
0.023,0.003,0.03,0.765,0.052,0.014,0.113,668.0,370.0,0.9595096817082044
0.001,0.0,0.0,0.995,0.001,0.0,0.003,718.0,364.0,0.8936371475569503
0.098,0.003,0.624,0.019,0.088,0.006,0.163,744.0,387.0,0.8536738227507875
0.022,0.0,0.17,0.51,0.02,0.252,0.025,744.0,386.0,0.8540100812390734
0.0,0.0,0.0,0.999,0.0,0.0,0.001,679.5,386.5,0.9352232205395327
0.0,0.0,0.0,0.981,0.0,0.003,0.015,609.0,384.0,0.9466097453851938
0.047,0.001,0.007,0.814,0.008,0.003,0.121,593.0,388.0,0.925496201279808
0.103,0.004,0.047,0.49,0.024,0.004,0.328,588.5,386.5,0.9211250755360183
0.033,0.0,0.011,0.383,0.028,0.002,0.543,583.5,390.5,0.9125609580712799
0.033,0.0,0.013,0.883,0.015,0.003,0.053,583.0,391.0,0.9116378842405657
0.003,0.0,0.007,0.952,0.003,0.019,0.015,587.0,399.0,0.9103874147774597
0.002,0.0,0.003,0.965,0.001,0.013,0.017,585.0,400.0,0.9073850862161343
0.001,0.0,0.0,0.978,0.001,0.002,0.019,586.5,399.5,0.9094352945382644
0.0,0.0,0.0,0.863,0.0,0.003,0.133,650.0,398.0,0.9464883051690611
0.305,0.0,0.535,0.084,0.013,0.001,0.062,769.0,399.0,0.8164700721370899
0.0,0.0,0.002,0.996,0.0,0.0,0.002,656.5,403.5,0.9366416507835765
0.001,0.0,0.002,0.005,0.001,0.0,0.991,896.0,419.0,0.6422306787322926
0.0,0.0,0.001,0.002,0.004,0.0,0.992,850.5,369.5,0.7130415693004388
0.0,0.0,0.001,0.0,0.002,0.0,0.997,983.5,594.5,0.4335962201399407
0.005,0.0,0.384,0.096,0.001,0.489,0.026,1075.0,473.0,0.3879395842547444
0.002,0.0,0.0,0.939,0.004,0.002,0.054,954.5,453.5,0.5531753558595096
0.006,0.0,0.001,0.859,0.01,0.006,0.118,844.0,438.0,0.7025703584183401
0.012,0.001,0.092,0.718,0.017,0.103,0.057,801.0,426.0,0.7630364875525053
0.001,0.0,0.0,0.955,0.001,0.001,0.042,766.0,411.0,0.8148853511079651
0.133,0.0,0.006,0.848,0.003,0.004,0.006,703.0,387.0,0.9066570409089714
0.746,0.0,0.022,0.225,0.005,0.001,0.001,645.5,375.5,0.9776020282287463
0.687,0.0,0.15,0.058,0.09,0.001,0.014,582.5,358.5,0.921667745235449
0.04,0.0,0.264,0.127,0.489,0.0,0.08,546.0,357.0,0.8719221652636888
0.0,0.0,0.022,0.893,0.017,0.0,0.067,519.5,385.5,0.8322644930352077
0.225,0.0,0.095,0.0,0.68,0.0,0.0,722.0,274.0,0.8381761957554512
0.309,0.0,0.053,0.0,0.638,0.0,0.0,720.0,274.0,0.8400435890235627
0.061,0.0,0.099,0.0,0.838,0.0,0.002,720.5,273.5,0.8390812496517268
0.021,0.0,0.417,0.0,0.557,0.001,0.004,722.5,271.5,0.8352318191747481
0.0,0.0,0.93,0.069,0.0,0.0,0.0,569.5,457.5,0.8361460763100091
0.001,0.0,0.057,0.914,0.002,0.003,0.023,606.0,453.0,0.8651506500534434
0.077,0.057,0.367,0.171,0.19,0.036,0.101,624.5,450.5,0.8749592054698312
0.011,0.001,0.013,0.721,0.024,0.01,0.22,617.5,444.5,0.8809151799681513
0.012,0.0,0.033,0.627,0.071,0.013,0.243,601.5,444.5,0.8735433537421251
0.731,0.0,0.185,0.0,0.074,0.0,0.01,721.0,273.0,0.838118902850755
0.005,0.0,0.019,0.787,0.014,0.016,0.158,591.0,445.0,0.8663872240867649
0.102,0.0,0.083,0.003,0.733,0.0,0.077,621.0,464.0,0.8560248022513406
0.034,0.001,0.434,0.003,0.2,0.0,0.329,726.0,453.0,0.8274976884857921
0.115,0.0,0.015,0.0,0.239,0.0,0.63,768.0,472.0,0.768375623838838
0.127,0.0,0.0,0.0,0.143,0.0,0.729,750.0,471.0,0.7871827730026891
0.02,0.001,0.095,0.0,0.88,0.0,0.005,697.0,426.0,0.8812387753235641
0.756,0.0,0.073,0.0,0.028,0.048,0.095,623.0,389.0,0.954221213107195
0.305,0.0,0.196,0.008,0.301,0.0,0.189,588.5,391.5,0.9177863299864798
0.075,0.0,0.158,0.0,0.767,0.0,0.0,721.0,275.0,0.8401015715574489
0.623,0.0,0.017,0.0,0.005,0.278,0.077,538.0,394.0,0.8535787954582197
0.625,0.0,0.029,0.0,0.081,0.031,0.234,499.5,395.5,0.8026487526343062
0.072,0.0,0.02,0.0,0.001,0.905,0.002,474.0,391.0,0.7700269335857688
0.253,0.0,0.015,0.0,0.001,0.73,0.001,472.0,387.0,0.7682755588695688
0.631,0.0,0.042,0.0,0.016,0.266,0.044,480.5,371.5,0.7822231800134778
0.082,0.0,0.021,0.002,0.03,0.004,0.86,506.0,374.0,0.8165206048971719
0.078,0.0,0.012,0.003,0.149,0.0,0.758,520.0,388.0,0.8321898769778056
0.147,0.0,0.008,0.0,0.845,0.0,0.0,721.0,276.0,0.8410846762621855
0.027,0.0,0.039,0.008,0.149,0.001,0.776,541.5,408.5,0.8504798724385441
0.169,0.111,0.239,0.029,0.353,0.02,0.08,582.0,423.0,0.8833819162905203
0.021,0.001,0.638,0.038,0.28,0.005,0.017,632.5,423.5,0.912922277971972
0.051,0.0,0.039,0.0,0.088,0.002,0.819,715.0,439.0,0.8516535252934418
0.261,0.001,0.54,0.006,0.135,0.035,0.022,755.5,439.5,0.8090488239574118
0.303,0.001,0.188,0.006,0.264,0.001,0.237,764.5,389.5,0.8257567229860224
0.045,0.0,0.082,0.023,0.035,0.002,0.813,758.5,387.5,0.8343338015239457
0.084,0.0,0.082,0.001,0.595,0.001,0.238,744.0,412.0,0.8416517004314188
0.013,0.0,0.0,0.01,0.02,0.0,0.957,714.5,442.5,0.8486185032219407
